Piso;Espaço;Nome do AP;Observações
Piso1;4.1.00/9;deti-ap25;AP na sala
Piso1;4.1.1;deti-ap01;AP na sala
Piso1;4.1.12/3;deti-ap29;AP na sala
Piso1;4.1.15;deti-ap03;AP na sala
Piso1;4.1.19;deti-ap26;AP na sala
Piso1;4.1.2;deti-ap28;AP na sala
Piso1;4.1.23;deti-ap04;AP na sala
Piso1;4.1.28;deti-ap05;AP na sala
Piso1;4.1.36;deti-ap20;AP na sala
Piso1;4.1.6;deti-ap17;AP na sala
Piso2;4.2.10;deti-ap35;AP na sala
Piso2;4.2.11;deti-ap22;AP na sala
Piso2;4.2.15;deti-ap07;AP na sala
Piso2;4.2.16;deti-ap31;AP na sala
Piso2;4.2.19;deti-ap18;AP na sala
Piso2;4.2.23;deti-ap21;AP na sala
Piso2;4.2.25;deti-ap27;AP na sala
Piso2;4.2.28;deti-ap08;AP na sala
Piso2;4.2.35;deti-ap19;Exterior da sala com AP
Piso2;4.2.4;deti-ap06;AP na sala
Piso2;4.2.44;deti-ap09;Exterior da sala com AP
Piso2;4.2.7;deti-ap02;AP na sala
Piso3;4.3.00/7;deti-ap10;Exterior da sala com AP
Piso3;4.3.14;deti-ap39;AP na sala
Piso3;4.3.19;deti-ap24;AP na sala
Piso3;4.3.21;deti-ap11;AP na sala
Piso3;4.3.25/26;deti-ap12;AP na sala
Piso3;4.3.3;deti-ap23;AP na sala
Piso3;4.3.31;deti-ap30;AP na sala
Piso3;4.3.37;deti-ap38;Exterior da sala com AP
Piso3;4.3.44;deti-ap34;AP na sala
Piso3;4.3.45;deti-ap32;AP na sala
