ts_iso;username;ap;event
2025-11-06T14:20:03.525;1SK8aWx/URD0c3MwfLwZytIGo48OPslQgYOfaPgdgv4=;deti-ap31;assocDone
2025-11-06T14:20:03.713;bQ0e5MVEpm+lirLZtp2ablqGwCcQ322U1om8QRAGQUE=;deti-ap31;authDone
2025-11-06T14:20:05.861;YbULvgH213jTtYY+pjlIDH53p4WY+UMfoqI5R7GvvJM=;deti-ap31;dhcpDone
2025-11-06T14:20:05.862;hpsmsEmcDwusGv1OR/GybXtQh4VCK4aBczjb5G2M7IQ=;deti-ap31;onboarding
2025-11-06T14:58:00;oedfLmhJka65/+fPdO4uD2r3s/8Rv7p599e5MWP+pbU=;deti-ap31;lastUpdated
2025-11-06T14:58:00;R4Oded33SHE4saz0gzrG8M5rhErX4+yd5ZRhMHIE0tM=;deti-ap31;connectionStatus:connected
2025-11-06T15:58:00;Nf11nDxpaKUaRW29N49p9bB9MTxb4DpqS6f9HjZ5fCI=;deti-ap31;lastUpdated
2025-11-06T15:58:00;TWlUrpaqaPdjopr5+NhKXupRys34wK/TzKaTdQWrje8=;deti-ap31;connectionStatus:connected
2025-11-06T16:07:36.223;gzMi1OuKk8ObhlXo4Y72tlUsutQn/HOvuOKvIRpC0H8=;deti-ap30;assocDone
2025-11-06T16:07:36.396;FvqoxJiOQhVpZQ4FVucMYLFG3q4KtxNtvCByaYUzOGU=;deti-ap30;authDone
2025-11-06T16:07:36.740;Q02ErOof8SSXB53CNSAdQ8Mfczo5d6hvP6JCY++PwTY=;deti-ap30;dhcpDone
2025-11-06T16:07:36.741;63sxVUZDHtvBAE5/UW515HajdlvVrk1KfbAn5qaE554=;deti-ap30;onboarding
2025-11-06T16:58:00;l/pNCXH/vTT2duf8cB+HINq7Wc17rCJXVRZq+SIny8s=;deti-ap30;lastUpdated
2025-11-06T16:58:00;ynGgQ1cvudbizJWpzoNDo5YkfxadG7KpS4ummAJrznY=;deti-ap30;connectionStatus:connected
2025-11-06T17:40:45.930;rnGSQSWmxYptOamw1VfwlRUcuIS6NILRBJZ57RkH1PA=;deti-ap30;assocDone
2025-11-06T17:40:46.168;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap30;authDone
2025-11-06T17:40:46.169;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap30;onboarding
2025-11-06T17:47:52.728;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap30;roaming
2025-11-06T17:47:52.728;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap26;roaming
2025-11-06T17:47:52.728;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap07;roaming
2025-11-06T17:58:00;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap30;lastUpdated
2025-11-06T17:58:00;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap30;connectionStatus:connected
2025-11-06T18:01:06.808;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap30;assocDone
2025-11-06T18:01:06.964;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap30;authDone
2025-11-06T18:01:06.965;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap30;onboarding
2025-11-06T18:08:00;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap30;lastUpdated
2025-11-06T18:08:00;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap30;connectionStatus:disconnected
2025-11-06T20:12:58.175;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap26;assocDone
2025-11-06T20:12:58.484;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap26;authDone
2025-11-06T20:12:58.654;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap26;dhcpDone
2025-11-06T20:12:58.655;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap26;onboarding
2025-11-06T20:58:00;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap26;lastUpdated
2025-11-06T20:58:00;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap26;connectionStatus:connected
2025-11-06T21:58:00;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap26;lastUpdated
2025-11-06T21:58:00;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap26;connectionStatus:connected
2025-11-06T22:03:00;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap26;lastUpdated
2025-11-06T22:03:00;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap26;connectionStatus:disconnected
2025-11-07T12:26:06.421;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap07;assocDone
2025-11-07T12:26:06.639;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap07;authDone
2025-11-07T12:26:08.785;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap07;dhcpDone
2025-11-07T12:26:08.786;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap07;onboarding
2025-11-07T12:58:00;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap07;lastUpdated
2025-11-07T12:58:00;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap07;connectionStatus:disconnected
2025-11-07T12:59:42.304;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap17;assocDone
2025-11-07T12:59:42.509;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap17;authDone
2025-11-07T12:59:42.633;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap17;dhcpDone
2025-11-07T12:59:42.634;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap17;onboarding
2025-11-07T13:51:50.767;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap17;roaming
2025-11-07T13:58:00;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap17;lastUpdated
2025-11-07T13:58:00;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap17;connectionStatus:connected
2025-11-07T14:58:00;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap17;lastUpdated
2025-11-07T14:58:00;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap17;connectionStatus:connected
2025-11-07T15:06:21.644;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap17;assocDone
2025-11-07T15:06:21.915;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap17;authDone
2025-11-07T15:06:21.916;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap17;onboarding
2025-11-07T15:17:05.493;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap17;roaming
2025-11-07T15:17:05.493;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap28;roaming
2025-11-07T15:58:00;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap17;lastUpdated
2025-11-07T15:58:00;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap17;connectionStatus:connected
2025-11-07T16:10:26.687;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap28;assocDone
2025-11-07T16:10:26.957;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap28;authDone
2025-11-07T16:10:27.116;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap28;dhcpDone
2025-11-07T16:10:27.117;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap28;onboarding
2025-11-07T16:58:00;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap28;lastUpdated
2025-11-07T16:58:00;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap28;connectionStatus:connected
2025-11-07T17:43:00;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap28;lastUpdated
2025-11-07T17:43:00;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap28;connectionStatus:disconnected
2025-11-20T14:14:08.894;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap02;dhcpDone
2025-11-20T14:20:58.053;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap02;roaming
2025-11-20T14:57:00;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap02;lastUpdated
2025-11-20T14:57:00;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap02;connectionStatus:connected
2025-11-20T14:57:13.216;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap02;assocDone
2025-11-20T14:57:15.724;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap02;authDone
2025-11-20T14:57:15.726;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap02;onboarding
2025-11-20T15:31:39.659;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap02;roaming
2025-11-20T15:31:39.659;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap30;roaming
2025-11-20T15:37:15.940;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap02;assocDone
2025-11-20T15:37:16.152;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap02;authDone
2025-11-20T15:37:16.153;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap02;onboarding
2025-11-20T15:47:00;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap02;lastUpdated
2025-11-20T15:47:00;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap02;connectionStatus:disconnected
2025-11-20T16:08:05.559;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap30;assocDone
2025-11-20T16:08:05.815;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap30;authDone
2025-11-20T16:08:06.019;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap30;dhcpDone
2025-11-20T16:08:06.020;ruE8Lqb/PnvwPvRbuCC8J/3AanhwWdVwo4XiTcxfSTg=;deti-ap30;onboarding
